Subject Number,Subject,Review Board,Subject Area,Scientific Discipline,Fachnummer,Fach,Fachkollegium,Fachgebiet,Wissenschaftsbereich
4.32-04,Computer-Aided Design of Materials and Simulation of Materials Behaviour from Atomic to Microscopic Scale,"4.32
Materials Science","43 
Materials Science and Engineering","4 
Engineering Sciences",4.32-04,Computergestütztes Werkstoffdesign und Simulation von Werkstoffverhalten von atomistischer bis mikroskopischer Skala,"4.32
Materialwissenschaft","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
4.41-01,"Automation, Mechatronics, Control Systems, Intelligent Technical Systems, Robotics","4.41
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",4.41-01,"Automatisierungstechnik, Mechatronik, Regelungssysteme, Intelligente Technische Systeme, Robotik","4.41
Systemtechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
4.41-02,Measurement Systems,"4.41
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",4.41-02,Messsysteme,"4.41
Systemtechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
4.41-03,Microsystems,"4.41
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",4.41-03,Mikrosysteme,"4.41
Systemtechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
4.41-04,"Traffic and Transport Systems, Intelligent and Automated Traffic","4.41
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",4.41-04,"Verkehrs- und Transportsysteme, Intelligenter und automatisierter Verkehr","4.41
Systemtechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
4.41-05,"Human Factors, Ergonomics, Human-Machine Systems","4.41
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",4.41-05,"Arbeitswissenschaft, Ergonomie, Mensch-Maschine-Systeme","4.41
Systemtechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
4.41-06,Biomedical Systems Technology,"4.41
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",4.41-06,Biomedizinische Systemtechnik,"4.41
Systemtechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
4.42-01,"Electronic Semiconductors, Components and Circuits, Integrated Systems, Sensor Technology, Theoretical Electrical Engineering","4.42
Electrical Engineering and Information Technology","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",4.42-01,"Elektronische Halbleiter, Bauelemente und Schaltungen, Integrierte Systeme, Sensorik, Theoretische Elektrotechnik","4.42
Elektrotechnik und Informationstechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
4.42-02,"Communication Technology and Networks, High-Frequency Technology and Photonic Systems, Signal Processing and Machine Learning for Information Technology","4.42
Electrical Engineering and Information Technology","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",4.42-02,"Kommunikationstechnik und- netze, Hochfrequenztechnik und photonische Systeme, Signalverarbeitung und maschinelles Lernen für Informationstechnik","4.42
Elektrotechnik und Informationstechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
4.42-03,"Electrical Energy Systems, Power Management, Power Electronics, Electrical Machines and Drives","4.42
Electrical Engineering and Information Technology","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",4.42-03,"Elektrische Energiesysteme, Power Management, Leistungselektronik, elektrische Maschinen und Antriebe","4.42
Elektrotechnik und Informationstechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
4.42-04,"Hardware Systems and Architectures for Information Technology and Artificial Intelligence, Quantum Engineering Systems","4.42
Electrical Engineering and Information Technology","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",4.42-04,"Hardwaresysteme und -architekturen für die Informationstechnik und die Künstliche Intelligenz, Quantentechnische Systeme","4.42
Elektrotechnik und Informationstechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
4.43-01,Theoretical Computer Science,"4.43
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",4.43-01,Theoretische Informatik,"4.43
Informatik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
4.43-02,Software Engineering and Programming Languages,"4.43
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",4.43-02,Softwaretechnik und Programmiersprachen,"4.43
Informatik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
4.43-03,"Security and Dependability, Operating, Communication and Distributed Systems","4.43
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",4.43-03,"Sicherheit und Verlässlichkeit, Betriebs-, Kommunikations- und verteilte Systeme","4.43
Informatik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
4.43-04,Artificial Intelligence and Machine Learning Methods,"4.43
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",4.43-04,Künstliche Intelligenz und Maschinelle Lernverfahren,"4.43
Informatik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
4.43-05,"Image and Language Processing,  Computer Graphics and Visualisation, Human Computer Interaction, Ubiquitous and Wearable Computing","4.43
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",4.43-05,"Bild- und Sprachverarbeitung, Computergraphik und Visualisierung, Human Computer Interaction, Ubiquitous und Wearable Computing","4.43
Informatik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
4.43-06,"Data Management, Data-Intensive Systems, Computer Science Methods in Business Informatics","4.43
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",4.43-06,"Datenmanagement, datenintensive Systeme, Informatik-Methoden in der Wirtschaftsinformatik","4.43
Informatik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
4.43-07,"Computer Architecture, Embedded and Massively Parallel Systems","4.43
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",4.43-07,"Rechnerarchitektur, eingebettete und massiv parallele Systeme","4.43
Informatik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
4.51-01,"Architecture, Building and Construction History, Construction Research, Sustainable Building Technology","4.51
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences",4.51-01,"Architektur, Bau- und Konstruktionsgeschichte, Bauforschung, Ressourcenökonomie im Bauwesen","4.51
Bauwesen und Architektur","45
Bauwesen und Architektur","4 
Ingenieurwissenschaften"
4.51-02,"Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning","4.51
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences",4.51-02,"Städtebau/Stadtentwicklung, Raumplanung, Verkehrs- und Infrastrukturplanung, Landschaftsplanung","4.51
Bauwesen und Architektur","45
Bauwesen und Architektur","4 
Ingenieurwissenschaften"
4.51-03,"Construction Material Sciences, Chemistry, Building Physics","4.51
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences",4.51-03,"Baustoffwissenschaften, Bauchemie, Bauphysik","4.51
Bauwesen und Architektur","45
Bauwesen und Architektur","4 
Ingenieurwissenschaften"
4.51-04,"Structural Engineering, Building Informatics and Construction Operation","4.51
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences",4.51-04,"Konstruktiver Ingenieurbau, Bauinformatik und Baubetrieb","4.51
Bauwesen und Architektur","45
Bauwesen und Architektur","4 
Ingenieurwissenschaften"
4.51-05,"Applied Mechanics, Statics and Dynamics","4.51
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences",4.51-05,"Angewandte Mechanik, Statik und Dynamik","4.51
Bauwesen und Architektur","45
Bauwesen und Architektur","4 
Ingenieurwissenschaften"
4.51-06,"Geotechnics, Hydraulic Engineering","4.51
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences",4.51-06,"Geotechnik, Wasserbau","4.51
Bauwesen und Architektur","45
Bauwesen und Architektur","4 
Ingenieurwissenschaften"
