Subject Number,Subject,Review Board,Subject Area,Scientific Discipline,Fachnummer,Fach,Fachkollegium,Fachgebiet,Wissenschaftsbereich
206-07,Clinical Neurosciences; Neurosurgery and Neuroradiology,"206
Neurosciences","22 
Medicine","2 
Life Sciences",206-07,Klinische Neurologie; Neurochirurgie und Neuroradiologie,"206
Neurowissenschaften","22 
Medizin","2 
Lebenswissenschaften"
206-08,Human Cognitive and Systems Neuroscience,"206
Neurosciences","22 
Medicine","2 
Life Sciences",206-08,Kognitive und systemische Humanneurowissenschaften,"206
Neurowissenschaften","22 
Medizin","2 
Lebenswissenschaften"
206-09,Biological Psychiatry,"206
Neurosciences","22 
Medicine","2 
Life Sciences",206-09,Biologische Psychiatrie,"206
Neurowissenschaften","22 
Medizin","2 
Lebenswissenschaften"
206-10,"Clinical Psychiatry, Psychotherapy, Child and Adolescent Psychiatry","206
Neurosciences","22 
Medicine","2 
Life Sciences",206-10,"Klinische Psychiatrie, Psychotherapie und Kinder- und Jugendpsychiatrie","206
Neurowissenschaften","22 
Medizin","2 
Lebenswissenschaften"
206-11,Ophthalmology,"206
Neurosciences","22 
Medicine","2 
Life Sciences",206-11,Augenheilkunde,"206
Neurowissenschaften","22 
Medizin","2 
Lebenswissenschaften"
207-01,Soil Sciences,"207
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences",207-01,Bodenwissenschaften,"207
Agrar-, Forstwissenschaften und Tiermedizin","23 
Agrar-, Forstwissen- schaften und Tiermedizin","2 
Lebenswissenschaften"
207-02,Plant Breeding and Plant Pathology,"207
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences",207-02,"Pflanzenzüchtung, Pflanzenpathologie","207
Agrar-, Forstwissenschaften und Tiermedizin","23 
Agrar-, Forstwissen- schaften und Tiermedizin","2 
Lebenswissenschaften"
207-03,"Plant Cultivation, Plant Nutrition, Agricultural Technology","207
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences",207-03,"Pflanzenbau, Pflanzenernährung, Agrartechnik","207
Agrar-, Forstwissenschaften und Tiermedizin","23 
Agrar-, Forstwissen- schaften und Tiermedizin","2 
Lebenswissenschaften"
207-04,Ecology of Land Use,"207
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences",207-04,Ökologie der Landnutzung,"207
Agrar-, Forstwissenschaften und Tiermedizin","23 
Agrar-, Forstwissen- schaften und Tiermedizin","2 
Lebenswissenschaften"
207-05,"Agricultural Economics, Agricultural Policy, Agricultural Sociology","207
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences",207-05,"Agrarökonomie, Agrarpolitik, Agrarsoziologie","207
Agrar-, Forstwissenschaften und Tiermedizin","23 
Agrar-, Forstwissen- schaften und Tiermedizin","2 
Lebenswissenschaften"
207-06,Forestry,"207
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences",207-06,Forstwissenschaften,"207
Agrar-, Forstwissenschaften und Tiermedizin","23 
Agrar-, Forstwissen- schaften und Tiermedizin","2 
Lebenswissenschaften"
207-07,"Animal Breeding, Animal Nutrition, Animal Husbandry","207
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences",207-07,"Tierzucht, Tierernährung, Tierhaltung","207
Agrar-, Forstwissenschaften und Tiermedizin","23 
Agrar-, Forstwissen- schaften und Tiermedizin","2 
Lebenswissenschaften"
207-08,Veterinary Medical Science,"207
Agriculture, Forestry and Veterinary Medicine","23 
Agriculture, Forestry and Veterinary Medicine","2 
Life Sciences",207-08,Tiermedizin,"207
Agrar-, Forstwissenschaften und Tiermedizin","23 
Agrar-, Forstwissen- schaften und Tiermedizin","2 
Lebenswissenschaften"
321-01,Inorganic Molecular Chemistry - Synthesis and Characterisation,"321 
Molecular Chemistry","31 
Chemistry","3
Natural Sciences",321-01,"Anorganische Molekülchemie - Synthese, Charakterisierung","321 
Molekülchemie","31 
Chemie","3
Naturwissenschaften"
321-02,Organic Molecular Chemistry - Synthesis and Characterisation,"321 
Molecular Chemistry","31 
Chemistry","3
Natural Sciences",321-02,"Organische Molekülchemie - Synthese, Charakterisierung","321 
Molekülchemie","31 
Chemie","3
Naturwissenschaften"
322-01,"Solid State and Surface Chemistry, Material Synthesis","322 
Chemical Solid State and Surface Research","31 
Chemistry","3
Natural Sciences",322-01,"Festkörper- und Oberflächenchemie, Materialsynthese","322 
Chemische Festkörper- und Oberflächenforschung","31 
Chemie","3
Naturwissenschaften"
322-02,"Physical Chemistry of Solids and Surfaces, Material Characterisation","322 
Chemical Solid State and Surface Research","31 
Chemistry","3
Natural Sciences",322-02,"Physikalische Chemie von Festkörpern und Oberflächen, Materialcharakterisierung","322 
Chemische Festkörper- und Oberflächenforschung","31 
Chemie","3
Naturwissenschaften"
323-01,"Physical Chemistry of Molecules, Liquids and Interfaces, Biophysical Chemistry","323 
Physical Chemistry","31 
Chemistry","3
Natural Sciences",323-01,"Physikalische Chemie von Molekülen, Flüssigkeiten und Grenzflächen; Biophysikalische Chemie","323 
Physikalische Chemie","31 
Chemie","3
Naturwissenschaften"
324-01,Analytical Chemistry,"324 
Analytical Chemistry","31 
Chemistry","3
Natural Sciences",324-01,Analytische Chemie,"324 
Analytische Chemie","31 
Chemie","3
Naturwissenschaften"
325-01,Biological and Biomimetic Chemistry,"325 
Biological Chemistry and Food Chemistry","31 
Chemistry","3
Natural Sciences",325-01,Biologische und Biomimetische Chemie,"325 
Biologische Chemie und Lebensmittelchemie","31 
Chemie","3
Naturwissenschaften"
325-02,Food Chemistry,"325 
Biological Chemistry and Food Chemistry","31 
Chemistry","3
Natural Sciences",325-02,Lebensmittelchemie,"325 
Biologische Chemie und Lebensmittelchemie","31 
Chemie","3
Naturwissenschaften"
326-01,Preparatory and Physical Chemistry of Polymers,"326 
Polymer Research","31 
Chemistry","3
Natural Sciences",326-01,Präparative und Physikalische Chemie von Polymeren,"326 
Polymerforschung","31 
Chemie","3
Naturwissenschaften"
326-02,Experimental and Theoretical Physics of Polymers,"326 
Polymer Research","31 
Chemistry","3
Natural Sciences",326-02,Experimentelle und Theoretische Polymerphysik,"326 
Polymerforschung","31 
Chemie","3
Naturwissenschaften"
326-03,Polymer Materials,"326 
Polymer Research","31 
Chemistry","3
Natural Sciences",326-03,Polymermaterialien,"326 
Polymerforschung","31 
Chemie","3
Naturwissenschaften"
327-01,"Electron Structure, Dynamics, Simulation","327
Theoretical Chemistry","31 
Chemistry","3
Natural Sciences",327-01,"Elektronenstruktur, Dynamik, Simulation","327
Theoretische Chemie","31 
Chemie","3
Naturwissenschaften"
327-02,"Molecules, Materials, Surfaces","327
Theoretical Chemistry","31 
Chemistry","3
Natural Sciences",327-02,"Moleküle, Materialien, Oberflächen","327
Theoretische Chemie","31 
Chemie","3
Naturwissenschaften"
307-01,Experimental Condensed Matter Physics,"307 
Condensed Matter Physics","32
Physics","3
Natural Sciences",307-01,Experimentelle Physik der kondensierten Materie,"307
Physik der kondensierten Materie","32
Physik","3
Naturwissenschaften"
307-02,Theoretical Condensed Matter Physics,"307 
Condensed Matter Physics","32
Physics","3
Natural Sciences",307-02,Theoretische Physik der kondensierten Materie,"307
Physik der kondensierten Materie","32
Physik","3
Naturwissenschaften"
308-01,"Optics, Quantum Optics, Atoms, Molecules, Plasmas","308
Optics, Quantum Optics and Physics of Atoms, Molecules and Plasmas","32
Physics","3
Natural Sciences",308-01,"Optik, Quantenoptik, Physik der Atome, Moleküle und Plasmen","308
Optik, Quantenoptik und Physik der Atome, Moleküle und Plasmen","32
Physik","3
Naturwissenschaften"
309-01,"Nuclear and Elementary Particle Physics, Quantum Mechanics, Relativity, Fields","309
Particles, Nuclei and Fields","32
Physics","3
Natural Sciences",309-01,"Kern- und Elementarteilchenphysik, Quantenmechanik, Relativitätstheorie, Felder","309
Teilchen, Kerne und Felder","32
Physik","3
Naturwissenschaften"
310-01,"Statistical Physics, Soft Matter, Biological Physics, Nonlinear Dynamics","310
Statistical Physics, Soft Matter, Biological Physics, Nonlinear Dynamics","32
Physics","3
Natural Sciences",310-01,"Statistische Physik, Weiche Materie, Biologische Physik, Nichtlineare Dynamik","310
Statistische Physik, Weiche Materie, Biologische Physik, Nichtlineare Dynamik","32
Physik","3
Naturwissenschaften"
311-01,Astrophysics and Astronomy,"311
Astrophysics and Astronomy","32
Physics","3
Natural Sciences",311-01,Astrophysik und Astronomie,"311
Astrophysik und Astronomie","32
Physik","3
Naturwissenschaften"
312-01,Mathematics,"312
Mathematics","33
Mathematics","3
Natural Sciences",312-01,Mathematik,"312
Mathematik","33
Mathematik","3
Naturwissenschaften"
313-01,Atmospheric Science,"313
Atmospheric Science, Oceanography and Climate Research","34
Geosciences","3
Natural Sciences",313-01,Physik und Chemie der Atmosphäre,"313
Atmosphären-, Meeres- und Klimaforschung","34
Geowissen-schaften","3
Naturwissenschaften"
313-02,Oceanography,"313
Atmospheric Science, Oceanography and Climate Research","34
Geosciences","3
Natural Sciences",313-02,"Physik, Chemie und Biologie des Meeres","313
Atmosphären-, Meeres- und Klimaforschung","34
Geowissen-schaften","3
Naturwissenschaften"
314-01,Geology and Palaeontology,"314
Geology and Palaeontology","34
Geosciences","3
Natural Sciences",314-01,"Geologie, Ingenieurgeologie, Paläontologie","314
Geologie und Paläontologie","34
Geowissen-schaften","3
Naturwissenschaften"
315-01,Geophysics,"315
Geophysics and Geodesy","34
Geosciences","3
Natural Sciences",315-01,Physik des Erdkörpers,"315
Geophysik und Geodäsie","34
Geowissen-schaften","3
Naturwissenschaften"
315-02,"Geodesy, Photogrammetry, Remote Sensing, Geoinformatics, Cartography","315
Geophysics and Geodesy","34
Geosciences","3
Natural Sciences",315-02,"Geodäsie, Photogrammetrie, Fernerkundung, Geoinformatik, Kartographie","315
Geophysik und Geodäsie","34
Geowissen-schaften","3
Naturwissenschaften"
316-01,"Mineralogy, Petrology and Geochemistry","316
Mineralogy, Petrology and Geochemistry","34
Geosciences","3
Natural Sciences",316-01,"Mineralogie, Petrologie und Geochemie","316
Mineralogie, Petrologie und Geochemie","34
Geowissen-schaften","3
Naturwissenschaften"
317-01,Physical Geography,"317
Geography","34
Geosciences","3
Natural Sciences",317-01,Physische Geographie,"317
Geographie","34
Geowissen-schaften","3
Naturwissenschaften"
317-02,Human Geography,"317
Geography","34
Geosciences","3
Natural Sciences",317-02,Humangeographie,"317
Geographie","34
Geowissen-schaften","3
Naturwissenschaften"
318-01,"Hydrogeology, Hydrology, Limnology, Urban Water Management, Water Chemistry, Integrated Water Resources Management","318
Water Research","34
Geosciences","3
Natural Sciences",318-01,"Hydrogeologie, Hydrologie, Limnologie, Siedlungswasserwirtschaft, Wasserchemie, Integrierte Wasserressourcen-Bewirtschaftung","318
Wasserforschung","34
Geowissen-schaften","3
Naturwissenschaften"
401-01,Metal-Cutting and Abrasive Manufacturing Engineering,"401 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",401-01,Spanende und abtragende Fertigungstechnik,"401 
Produktionstechnik","41 
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
401-02,"Primary Shaping and Reshaping Technology, Additive Manufacturing","401 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",401-02,"Ur- und Umformtechnik, Additive Fertigungsverfahren","401 
Produktionstechnik","41 
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
401-03,Joining and Separation Technology,"401 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",401-03,Fügetechnik und Trenntechnik,"401 
Produktionstechnik","41 
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
401-04,Plastics Engineering,"401 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",401-04,Kunststofftechnik,"401 
Produktionstechnik","41 
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
401-05,"Production Systems, Operations Management, Quality Management and Factory Planning","401 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",401-05,"Produktionssystematik, Betriebswissenschaften, Qualitätsmanagement und Fabrikplanung","401 
Produktionstechnik","41 
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
401-06,Production Automation,"401 
Production Technology","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",401-06,Produktionsautomatisierung,"401 
Produktionstechnik","41 
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
402-01,"Engineering Design, Machine Elements, Product Development","402 
Mechanics and Constructive Mechanical Engineering","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",402-01,"Konstruktion, Maschinenelemente, Produktentwicklung","402 
Mechanik und Konstruktiver Maschinenbau","41 
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
402-02,Mechanics,"402 
Mechanics and Constructive Mechanical Engineering","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",402-02,Mechanik,"402 
Mechanik und Konstruktiver Maschinenbau","41 
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
402-03,"Lightweight Construction, Textile Technology","402 
Mechanics and Constructive Mechanical Engineering","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",402-03,"Leichtbau, Textiltechnik","402 
Mechanik und Konstruktiver Maschinenbau","41 
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
402-04,Acoustics,"402 
Mechanics and Constructive Mechanical Engineering","41 
Mechanical and Industrial Engineering","4 
Engineering Sciences",402-04,Akustik,"402 
Mechanik und Konstruktiver Maschinenbau","41 
Maschinenbau und Produktionstechnik","4 
Ingenieurwissenschaften"
403-01,Chemical and Thermal Process Engineering,"403 
Process Engineering, Technical Chemistry","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences",403-01,Chemische und Thermische Verfahrenstechnik,"403 
Verfahrenstechnik, Technische Chemie","42 
Wärmetechnik/ Verfahrenstechnik","4 
Ingenieurwissenschaften"
403-02,Technical Chemistry,"403 
Process Engineering, Technical Chemistry","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences",403-02,Technische Chemie,"403 
Verfahrenstechnik, Technische Chemie","42 
Wärmetechnik/ Verfahrenstechnik","4 
Ingenieurwissenschaften"
403-03,Mechanical Process Engineering,"403 
Process Engineering, Technical Chemistry","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences",403-03,Mechanische Verfahrenstechnik,"403 
Verfahrenstechnik, Technische Chemie","42 
Wärmetechnik/ Verfahrenstechnik","4 
Ingenieurwissenschaften"
403-04,Biological Process Engineering,"403 
Process Engineering, Technical Chemistry","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences",403-04,Bioverfahrenstechnik,"403 
Verfahrenstechnik, Technische Chemie","42 
Wärmetechnik/ Verfahrenstechnik","4 
Ingenieurwissenschaften"
404-01,Energy Process Engineering,"404 
Fluid Mechanics, Technical Thermodynamics and Thermal Energy Engineering","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences",404-01,Energieverfahrenstechnik,"404 
Strömungsmechanik, Technische Thermodynamik und Thermische Energietechnik","42 
Wärmetechnik/ Verfahrenstechnik","4 
Ingenieurwissenschaften"
404-02,Technical Thermodynamics,"404 
Fluid Mechanics, Technical Thermodynamics and Thermal Energy Engineering","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences",404-02,Technische Thermodynamik,"404 
Strömungsmechanik, Technische Thermodynamik und Thermische Energietechnik","42 
Wärmetechnik/ Verfahrenstechnik","4 
Ingenieurwissenschaften"
404-03,Fluid Mechanics,"404 
Fluid Mechanics, Technical Thermodynamics and Thermal Energy Engineering","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences",404-03,Strömungsmechanik,"404 
Strömungsmechanik, Technische Thermodynamik und Thermische Energietechnik","42 
Wärmetechnik/ Verfahrenstechnik","4 
Ingenieurwissenschaften"
404-04,Hydraulic and Turbo Engines and Piston Engines,"404 
Fluid Mechanics, Technical Thermodynamics and Thermal Energy Engineering","42 
Thermal Engineering/ Process Engineering","4 
Engineering Sciences",404-04,Strömungs- und Kolbenmaschinen,"404 
Strömungsmechanik, Technische Thermodynamik und Thermische Energietechnik","42 
Wärmetechnik/ Verfahrenstechnik","4 
Ingenieurwissenschaften"
405-01,"Metallurgical, Thermal and Thermomechanical Treatment of Materials","405
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences",405-01,"Metallurgische, thermische und thermomechanische Behandlung von Werkstoffen","405
Werkstofftechnik","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
405-02,Materials in Sintering Processes and Generative Manufacturing Processes,"405
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences",405-02,Materialien und Werkstoffe der Sinterprozesse und der generativen Fertigungsverfahren,"405
Werkstofftechnik","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
405-03,Coating and Surface Technology,"405
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences",405-03,Beschichtungs- und Oberflächentechnik,"405
Werkstofftechnik","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
405-04,Mechanical Properties of Metallic Materials and their Microstructural Origins,"405
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences",405-04,Mechanische Eigenschaften von metallischen Werkstoffen und ihre mikrostrukturellen Ursachen,"405
Werkstofftechnik","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
405-05,"Glass, Ceramics and Derived Composites","405
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences",405-05,Glas und Keramik und darauf basierende Verbundwerkstoffe,"405
Werkstofftechnik","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
405-06,Polymeric and Biogenic Materials and Derived Composites,"405
Materials Engineering","43 
Materials Science and Engineering","4 
Engineering Sciences",405-06,Polymere und biogene Werkstoffe und darauf basierende Verbundwerkstoffe,"405
Werkstofftechnik","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
406-01,Synthesis and Properties of Functional Materials,"406
Materials Science","43 
Materials Science and Engineering","4 
Engineering Sciences",406-01,Herstellung und Eigenschaften von Funktionsmaterialien,"406
Materialwissenschaft","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
406-02,Biomaterials,"406
Materials Science","43 
Materials Science and Engineering","4 
Engineering Sciences",406-02,Biomaterialien,"406
Materialwissenschaft","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
406-03,Thermodynamics and Kinetics as well as Properties of Phases and Microstructure of Materials,"406
Materials Science","43 
Materials Science and Engineering","4 
Engineering Sciences",406-03,Thermodynamik und Kinetik sowie Eigenschaften der Phasen und Gefüge von Werkstoffen,"406
Materialwissenschaft","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
406-04,Computer-Aided Design of Materials and Simulation of Materials Behaviour from Atomic to Microscopic Scale,"406
Materials Science","43 
Materials Science and Engineering","4 
Engineering Sciences",406-04,Computergestütztes Werkstoffdesign und Simulation von Werkstoffverhalten von atomistischer bis mikroskopischer Skala,"406
Materialwissenschaft","43 
Materialwissenschaft und Werkstofftechnik","4 
Ingenieurwissenschaften"
407-01,"Automation, Control Systems, Robotics, Mechatronics, Cyber Physical Systems","407
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",407-01,"Automatisierungstechnik, Regelungssysteme, Robotik, Mechatronik, Cyber Physical Systems","407
Systemtechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
407-02,Measurement Systems,"407
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",407-02,Messsysteme,"407
Systemtechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
407-03,Microsystems,"407
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",407-03,Mikrosysteme,"407
Systemtechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
407-04,"Traffic and Transport Systems, Logistics, Intelligent and Automated Traffic","407
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",407-04,"Verkehrs- und Transportsysteme, Intelligenter und automatisierter Verkehr","407
Systemtechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
407-05,"Human Factors, Ergonomics, Human-Machine Systems","407
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",407-05,"Arbeitswissenschaft, Ergonomie, Mensch-Maschine-Systeme","407
Systemtechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
407-06,Biomedical Systems Technology,"407
Systems Engineering","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",407-06,Biomedizinische Systemtechnik,"407
Systemtechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
408-01,"Electronic Semiconductors, Components, Circuits, Systems","408
Electrical Engineering and Information Technology","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",408-01,"Elektronische Halbleiter, Bauelemente und Schaltungen, Integrierte Systeme","408
Elektrotechnik und Informationstechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
408-02,"Communications, High-Frequency and Network Technology, Theoretical Electrical Engineering","408
Electrical Engineering and Information Technology","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",408-02,"Nachrichten- und Hochfrequenztechnik, Kommunikationstechnik und -netze, Theoretische Elektrotechnik","408
Elektrotechnik und Informationstechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
408-03,"Electrical Energy Generation, Distribution, Application","408
Electrical Engineering and Information Technology","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",408-03,"Elektrische Energieerzeugung, -übertragung, -verteilung und -anwendung","408
Elektrotechnik und Informationstechnik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
409-01,Theoretical Computer Science,"409
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",409-01,Theoretische Informatik,"409
Informatik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
409-02,Software Engineering and Programming Languages,"409
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",409-02,Softwaretechnik und Programmiersprachen,"409
Informatik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
409-03,Security and Dependability,"409
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",409-03,Sicherheit und Verlässlichkeit,"409
Informatik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
409-04,"Operating, Communication, Database and Distributed Systems","409
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",409-04,"Betriebs-, Kommunikations-, Datenbank- und verteilte Systeme","409
Informatik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
409-05,"Interactive and Intelligent Systems, Image and Language Processing, Computer Graphics and Visualisation","409
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",409-05,"Interaktive und intelligente Systeme, Bild- und Sprachverarbeitung, Computergraphik und Visualisierung","409
Informatik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
409-06,"Information Systems, Process and Knowledge Management","409
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",409-06,"Informationssysteme, Prozess- und Wissensmanagement","409
Informatik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
409-07,Computer Architecture and Embedded Systems,"409
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",409-07,Rechnerarchitekturen und eingebettete Systeme,"409
Informatik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
409-08,Massively Parallel and Data-Intensive Systems,"409
Computer Science","44 
Computer Science, Systems and  Electrical Engineering","4 
Engineering Sciences",409-08,Massiv parallele und datenintensive Systeme,"409
Informatik","44 
Informatik, System- und Elektrotechnik","4 
Ingenieurwissenschaften"
410-01,"Architecture, Building and Construction History, Construction Research, Sustainable Building Technology","410
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences",410-01,"Architektur, Bau- und Konstruktionsgeschichte, Bauforschung, Ressourcenökonomie im Bauwesen","410
Bauwesen und Architektur","45 
Bauwesen und Architektur","4 
Ingenieurwissenschaften"
410-02,"Urbanism, Spatial Planning, Transportation and Infrastructure Planning, Landscape Planning","410
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences",410-02,"Städtebau/Stadtentwicklung, Raumplanung, Verkehrs- und Infrastrukturplanung, Landschaftsplanung","410
Bauwesen und Architektur","45 
Bauwesen und Architektur","4 
Ingenieurwissenschaften"
410-03,"Construction Material Sciences, Chemistry, Building Physics","410
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences",410-03,"Baustoffwissenschaften, Bauchemie, Bauphysik","410
Bauwesen und Architektur","45 
Bauwesen und Architektur","4 
Ingenieurwissenschaften"
410-04,"Structural Engineering, Building Informatics and Construction Operation","410
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences",410-04,"Konstruktiver Ingenieurbau, Bauinformatik und Baubetrieb","410
Bauwesen und Architektur","45 
Bauwesen und Architektur","4 
Ingenieurwissenschaften"
410-05,"Applied Mechanics, Statics and Dynamics","410
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences",410-05,"Angewandte Mechanik, Statik und Dynamik","410
Bauwesen und Architektur","45 
Bauwesen und Architektur","4 
Ingenieurwissenschaften"
410-06,"Geotechnics, Hydraulic Engineering","410
Construction Engineering and Architecture","45 
Construction Engineering and Architecture","4 
Engineering Sciences",410-06,"Geotechnik, Wasserbau","410
Bauwesen und Architektur","45 
Bauwesen und Architektur","4 
Ingenieurwissenschaften"
